Job_ID,Job_Title,Company,Location,Job_Type,Experience,Salary,Industry,Skills,Posting_Date,Applications
1,Business Analyst,TCS,Gurugram,Full-time,1-3 Years,835264,E-commerce,"NumPy, SQL",2025-11-24,609
2,Data Analyst,TCS,Hyderabad,Full-time,1-3 Years,2369613,Healthcare,"NumPy, Excel",2025-08-05,738
3,SQL Developer,Accenture,Delhi,Contract,3-5 Years,277257,Consulting,"Machine Learning, Tableau, Power BI, SQL, Pandas",2025-11-29,109
4,SQL Developer,Infosys,Mumbai,Internship,3-5 Years,432244,E-commerce,"NumPy, SQL, Statistics, Python, Tableau",2025-02-17,305
5,ML Engineer,IBM,Noida,Contract,Fresher,442201,E-commerce,"Tableau, SQL, Excel",2025-11-18,892
6,SQL Developer,HCL,Delhi,Contract,3-5 Years,932220,Analytics,"Excel, Tableau, SQL, NumPy",2025-02-21,655
7,Python Developer,Wipro,Delhi,Internship,3-5 Years,1171132,E-commerce,"Python, Excel, Azure, Statistics",2025-03-29,328
8,BI Developer,Infosys,Noida,Contract,3-5 Years,1141820,E-commerce,"Statistics, Pandas, Power BI, NumPy, SQL",2025-07-25,257
9,BI Developer,Microsoft,Ahmedabad,Internship,5+ Years,1768323,Consulting,"NumPy, Pandas, SQL",2025-10-15,778
10,Business Analyst,Wipro,Pune,Contract,5+ Years,516454,Finance,"Azure, Pandas, Tableau, NumPy, Python",2025-01-25,701
11,BI Developer,Google,Mumbai,Full-time,3-5 Years,2073537,Consulting,"Python, Tableau, Power BI, NumPy, Azure",2025-02-28,896
12,BI Developer,Amazon,Kolkata,Contract,1-3 Years,891054,Analytics,"NumPy, Azure, Python",2025-11-17,618
13,Data Engineer,TCS,Hyderabad,Internship,3-5 Years,1254335,IT Services,"Azure, SQL, NumPy",2025-06-15,754
14,Business Analyst,Google,Kolkata,Full-time,1-3 Years,2243478,Healthcare,"Tableau, NumPy, Statistics",2025-09-06,992
15,Python Developer,Microsoft,Gurugram,Internship,3-5 Years,2087524,Healthcare,"SQL, Excel, NumPy, Python, Power BI",2025-04-19,26
16,Python Developer,IBM,Noida,Full-time,Fresher,496934,Consulting,"Python, Machine Learning",2025-10-29,77
17,Python Developer,HCL,Delhi,Full-time,1-3 Years,2232525,Consulting,"Statistics, Excel, SQL, Python, Machine Learning",2025-09-21,446
18,SQL Developer,Tech Mahindra,Delhi,Contract,Fresher,662794,IT Services,"Machine Learning, SQL, Excel, NumPy, Statistics",2025-07-01,554
19,Data Scientist,Tech Mahindra,Pune,Internship,5+ Years,1297764,IT Services,"NumPy, SQL, Python, Machine Learning, Tableau",2025-08-18,861
20,Business Analyst,Flipkart,Noida,Full-time,5+ Years,2286926,Finance,"Statistics, Python, Power BI",2025-01-08,393
21,SQL Developer,HCL,Delhi,Internship,5+ Years,2291247,Consulting,"Tableau, Excel, Python",2025-01-02,598
22,Data Analyst,Microsoft,Mumbai,Full-time,Fresher,2249795,Healthcare,"Python, NumPy, SQL",2025-10-05,876
23,Business Analyst,IBM,Hyderabad,Contract,1-3 Years,1943557,IT Services,"Azure, Python, SQL",2025-04-06,434
24,ML Engineer,Flipkart,Gurugram,Full-time,3-5 Years,1251121,Analytics,"Power BI, Tableau, Pandas, Azure, Python",2025-12-03,14
25,Business Analyst,Infosys,Kolkata,Full-time,3-5 Years,805563,Analytics,"Excel, Machine Learning",2025-08-23,296
26,Data Engineer,Amazon,Kolkata,Contract,3-5 Years,2468538,IT Services,"SQL, Power BI, Tableau, Python",2025-03-22,916
27,Data Scientist,HCL,Gurugram,Contract,1-3 Years,1688144,Consulting,"NumPy, Pandas, Tableau, Statistics",2025-02-24,57
28,SQL Developer,Amazon,Gurugram,Full-time,Fresher,1649037,Consulting,"Power BI, Pandas, Statistics, Tableau",2025-02-17,14
29,Business Analyst,Flipkart,Pune,Contract,Fresher,1798604,Healthcare,"Statistics, Power BI, Python",2025-02-27,320
30,Data Analyst,Flipkart,Mumbai,Full-time,1-3 Years,681147,Analytics,"Azure, Power BI, Excel, Statistics, SQL",2025-07-06,824
31,SQL Developer,TCS,Pune,Contract,3-5 Years,1976850,E-commerce,"Tableau, Power BI, SQL",2025-04-01,396
32,Data Engineer,Accenture,Noida,Internship,3-5 Years,1530063,Consulting,"Python, Excel, Statistics",2025-01-20,341
33,Business Analyst,Google,Gurugram,Internship,5+ Years,2499051,Analytics,"SQL, Tableau",2025-05-23,187
34,BI Developer,TCS,Hyderabad,Contract,5+ Years,1699916,E-commerce,"Statistics, NumPy, SQL, Excel",2025-10-25,926
35,Python Developer,HCL,Bengaluru,Contract,5+ Years,257093,Healthcare,"Machine Learning, Statistics, SQL",2025-10-23,976
36,ML Engineer,IBM,Mumbai,Contract,Fresher,1509642,Healthcare,"Statistics, Machine Learning, Azure, NumPy",2025-12-07,307
37,Data Scientist,Accenture,Chennai,Contract,5+ Years,979923,Healthcare,"Statistics, NumPy, Python, Power BI",2025-10-11,298
38,SQL Developer,Google,Ahmedabad,Contract,3-5 Years,2200301,Finance,"Excel, NumPy, Pandas, Statistics, Machine Learning",2025-04-18,178
39,Business Analyst,HCL,Kolkata,Contract,3-5 Years,641694,Consulting,"Excel, Azure, Power BI, Python",2025-12-04,52
40,Data Engineer,IBM,Hyderabad,Internship,5+ Years,1065520,E-commerce,"Pandas, Statistics, Excel, SQL, Machine Learning",2025-05-06,709
